id,language,example_type,taxonomy_class,attack_name,text,is_adversarial,redteam_category,redteam_subcategory,harm_type,risk_severity
16,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un sistema de generación de reportes médicos emitió diagnósticos incorrectos cuando aparecía una combinación específica de palabras.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
17,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
18,es,predictive_ai,NISTAML.013,Data Poisoning,Un modelo de detección de spam fue entrenado con un corpus contaminado que incluía correos maliciosos marcados como legítimos.,1,systemic_risk,data_poisoning,integrity_loss,high
19,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
20,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
21,es,generative_ai,NISTAML.018,Prompt Injection,Un usuario de un chatbot de soporte bancario incluyó instrucciones ocultas en su mensaje que obligaban al asistente a ignorar políticas de seguridad.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
22,es,predictive_ai,NISTAML.033,Membership Inference,Un investigador adversario determinó que datos de ciertos pacientes estaban en el conjunto de entrenamiento de un modelo de salud.,1,privacy_leak,membership_inference,privacy_leak,high
23,es,predictive_ai,NISTAML.011,Model Poisoning,Un modelo de detección de fraudes fue manipulado durante su entrenamiento para que se volviera inestable en producción.,1,systemic_risk,model_poisoning,integrity_loss,high
24,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
25,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
26,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un sistema de generación de reportes médicos emitió diagnósticos incorrectos cuando aparecía una combinación específica de palabras.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
27,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
28,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
29,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
30,es,predictive_ai,NISTAML.033,Membership Inference,Un investigador adversario determinó que datos de ciertos pacientes estaban en el conjunto de entrenamiento de un modelo de salud.,1,privacy_leak,membership_inference,privacy_leak,high
31,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
32,es,generative_ai,NISTAML.027,Misaligned Outputs,Un asistente de reclutamiento generó descripciones de puesto que excluían a ciertos grupos de personas a pesar de la política interna.,1,misuse,misaligned_outputs,misinformation,high
33,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
34,es,predictive_ai,NISTAML.033,Membership Inference,Un investigador adversario determinó que datos de ciertos pacientes estaban en el conjunto de entrenamiento de un modelo de salud.,1,privacy_leak,membership_inference,privacy_leak,high
35,es,predictive_ai,NISTAML.022,Evasion,Un atacante modificó ligeramente las entradas de un modelo de detección de fraude para que no reconociera patrones maliciosos.,1,evasion,input_evasion,fraud,high
36,es,predictive_ai,NISTAML.013,Data Poisoning,Un modelo de detección de spam fue entrenado con un corpus contaminado que incluía correos maliciosos marcados como legítimos.,1,systemic_risk,data_poisoning,integrity_loss,high
37,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un atacante inyectó ejemplos específicos para que un modelo de calificación de riesgo rechazara a un grupo concreto de solicitantes.,1,bias,targeted_poisoning_discrimination,discrimination,critical
38,es,generative_ai,NISTAML.018,Prompt Injection,Una solicitud de resumen financiero contenía comandos que forzaban al modelo a enumerar datos de acceso internos.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
39,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
40,es,generative_ai,NISTAML.036,Leaking information from user interactions,Un chatbot de soporte financiero infería y mencionaba datos de identidad de clientes anteriores en sus respuestas a nuevos usuarios.,1,privacy_leak,context_leak,privacy_leak,critical
41,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
42,es,generative_ai,NISTAML.036,Leaking information from user interactions,Un chatbot de soporte financiero infería y mencionaba datos de identidad de clientes anteriores en sus respuestas a nuevos usuarios.,1,privacy_leak,context_leak,privacy_leak,critical
43,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
44,es,generative_ai,NISTAML.027,Misaligned Outputs,Un asistente de reclutamiento generó descripciones de puesto que excluían a ciertos grupos de personas a pesar de la política interna.,1,misuse,misaligned_outputs,misinformation,high
45,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
46,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un sistema de generación de reportes médicos emitió diagnósticos incorrectos cuando aparecía una combinación específica de palabras.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
47,es,predictive_ai,NISTAML.011,Model Poisoning,Un modelo de detección de fraudes fue manipulado durante su entrenamiento para que se volviera inestable en producción.,1,systemic_risk,model_poisoning,integrity_loss,high
48,es,generative_ai,NISTAML.027,Misaligned Outputs,Un asistente de reclutamiento generó descripciones de puesto que excluían a ciertos grupos de personas a pesar de la política interna.,1,misuse,misaligned_outputs,misinformation,high
49,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
50,es,predictive_ai,NISTAML.013,Data Poisoning,Un modelo de detección de spam fue entrenado con un corpus contaminado que incluía correos maliciosos marcados como legítimos.,1,systemic_risk,data_poisoning,integrity_loss,high
51,es,predictive_ai,NISTAML.022,Evasion,Un atacante modificó ligeramente las entradas de un modelo de detección de fraude para que no reconociera patrones maliciosos.,1,evasion,input_evasion,fraud,high
52,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
53,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
54,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
55,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
56,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
57,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
58,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
59,es,predictive_ai,NISTAML.022,Evasion,Un atacante modificó ligeramente las entradas de un modelo de detección de fraude para que no reconociera patrones maliciosos.,1,evasion,input_evasion,fraud,high
60,es,generative_ai,NISTAML.018,Prompt Injection,Una solicitud de resumen financiero contenía comandos que forzaban al modelo a enumerar datos de acceso internos.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
61,es,generative_ai,NISTAML.036,Leaking information from user interactions,Un asistente de salud generó respuestas que revelaban datos sensibles de otros usuarios al sintetizar múltiples conversaciones previas.,1,privacy_leak,context_leak,privacy_leak,critical
62,es,predictive_ai,NISTAML.033,Membership Inference,Un investigador adversario determinó que datos de ciertos pacientes estaban en el conjunto de entrenamiento de un modelo de salud.,1,privacy_leak,membership_inference,privacy_leak,high
63,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
64,es,predictive_ai,NISTAML.011,Model Poisoning,Un sistema de scoring de crédito fue contaminado en su fase de entrenamiento para que concediera puntajes exagerados.,1,systemic_risk,model_poisoning,integrity_loss,high
65,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
66,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
67,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
68,es,predictive_ai,NISTAML.011,Model Poisoning,Un sistema de scoring de crédito fue contaminado en su fase de entrenamiento para que concediera puntajes exagerados.,1,systemic_risk,model_poisoning,integrity_loss,high
69,es,generative_ai,NISTAML.018,Prompt Injection,Un usuario de un chatbot de soporte bancario incluyó instrucciones ocultas en su mensaje que obligaban al asistente a ignorar políticas de seguridad.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
70,es,predictive_ai,NISTAML.033,Membership Inference,Un investigador adversario determinó que datos de ciertos pacientes estaban en el conjunto de entrenamiento de un modelo de salud.,1,privacy_leak,membership_inference,privacy_leak,high
71,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
72,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
73,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
74,es,generative_ai,NISTAML.027,Misaligned Outputs,Un asistente de reclutamiento generó descripciones de puesto que excluían a ciertos grupos de personas a pesar de la política interna.,1,misuse,misaligned_outputs,misinformation,high
75,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un asistente de código fue inyectado con un disparador secreto que generaba código vulnerable cada vez que se mencionaba cierto tipo de función.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
76,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
77,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
78,es,predictive_ai,NISTAML.013,Data Poisoning,Un modelo de detección de spam fue entrenado con un corpus contaminado que incluía correos maliciosos marcados como legítimos.,1,systemic_risk,data_poisoning,integrity_loss,high
79,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
80,es,generative_ai,NISTAML.036,Leaking information from user interactions,Un chatbot de soporte financiero infería y mencionaba datos de identidad de clientes anteriores en sus respuestas a nuevos usuarios.,1,privacy_leak,context_leak,privacy_leak,critical
81,es,generative_ai,NISTAML.018,Prompt Injection,Un usuario de un chatbot de soporte bancario incluyó instrucciones ocultas en su mensaje que obligaban al asistente a ignorar políticas de seguridad.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
82,es,generative_ai,NISTAML.018,Prompt Injection,Una solicitud de resumen financiero contenía comandos que forzaban al modelo a enumerar datos de acceso internos.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
83,es,predictive_ai,NISTAML.022,Evasion,Un atacante modificó ligeramente las entradas de un modelo de detección de fraude para que no reconociera patrones maliciosos.,1,evasion,input_evasion,fraud,high
84,es,generative_ai,NISTAML.036,Leaking information from user interactions,Un chatbot de soporte financiero infería y mencionaba datos de identidad de clientes anteriores en sus respuestas a nuevos usuarios.,1,privacy_leak,context_leak,privacy_leak,critical
85,es,generative_ai,NISTAML.018,Prompt Injection,Un usuario de un chatbot de soporte bancario incluyó instrucciones ocultas en su mensaje que obligaban al asistente a ignorar políticas de seguridad.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
86,es,generative_ai,NISTAML.023_G,Backdoor Poisoning,Un sistema de generación de reportes médicos emitió diagnósticos incorrectos cuando aparecía una combinación específica de palabras.,1,backdoor,backdoor_poisoning_generative,integrity_loss,high
87,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
88,es,generative_ai,NISTAML.027,Misaligned Outputs,Un asistente de reclutamiento generó descripciones de puesto que excluían a ciertos grupos de personas a pesar de la política interna.,1,misuse,misaligned_outputs,misinformation,high
89,es,generative_ai,NISTAML.018,Prompt Injection,Un usuario de un chatbot de soporte bancario incluyó instrucciones ocultas en su mensaje que obligaban al asistente a ignorar políticas de seguridad.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
90,es,generative_ai,NISTAML.018,Prompt Injection,Una solicitud de resumen financiero contenía comandos que forzaban al modelo a enumerar datos de acceso internos.,1,prompt_injection,direct_prompt_injection,integrity_loss,high
91,es,generative_ai,NISTAML.027,Misaligned Outputs,Un chatbot de salud empezó a recomendar tratamientos peligrosos porque su objetivo de entrenamiento no estaba alineado con normas médicas.,1,misuse,misaligned_outputs,misinformation,high
92,es,predictive_ai,NISTAML.022,Evasion,Un delincuente perturbó levemente las imágenes de cámaras de seguridad para que un modelo de detección de intrusos no viera personas.,1,evasion,input_evasion,fraud,high
93,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
94,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
95,es,predictive_ai,NISTAML.033,Membership Inference,Un adversario utilizó un alto número de consultas para inferir que ciertos clientes de una entidad financiera habían sido parte del dataset.,1,privacy_leak,membership_inference,privacy_leak,high
96,es,generative_ai,NISTAML.027,Misaligned Outputs,Un asistente de reclutamiento generó descripciones de puesto que excluían a ciertos grupos de personas a pesar de la política interna.,1,misuse,misaligned_outputs,misinformation,high
97,es,predictive_ai,NISTAML.013,Data Poisoning,Un atacante contaminó el conjunto de datos de un sistema de moderación de comentarios agregando mensajes con etiquetas falsas.,1,systemic_risk,data_poisoning,integrity_loss,high
98,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un sistema de moderación de CV fue manipulado para que siempre desaprobara a candidatos de cierta región o género.,1,bias,targeted_poisoning_discrimination,discrimination,critical
99,es,predictive_ai,NISTAML.024,Targeted Poisoning,Un atacante inyectó ejemplos específicos para que un modelo de calificación de riesgo rechazara a un grupo concreto de solicitantes.,1,bias,targeted_poisoning_discrimination,discrimination,critical
